nombre|descripcion|numero_de_registro|denominacion|fecha_de_constitucion|codigo_territorio_historico|nombre_territorio_historico|codigo_municipio|nombre_municipio|codigo_postal|domicilio|pagina_web|coordenadas_(longitud)|coordenadas_(latitud)|fines|codigo_de_actividad|url_amigable|url_fisica|xml_datos|xml_metadatos|zip
FUNDACIÓN ORIENTA ZAITEZ FUNDAZIOA|FUNDACIÓN ORIENTA ZAITEZ FUNDAZIOA|F-429|FUNDACIÓN ORIENTA ZAITEZ FUNDAZIOA|26/09/2017|48.0|Bizkaia|20.0|Bilbao|48009.0|ALAMEDA RECALDE Nº 27, PLANTA 2ª-OFICINA 2||-2.933976|43.264347|la inserción laboral de jóvenes a través de la orientación. La Fundación pretende abordar de manera global la gran oportunidad que supone la revolución digital dentro de la Unión Europea; no hay una formación formal adaptada a los nuevos requerimientos digitales y las empresas no encuentran personas formadas en las nuevas oportunidades y necesidades  del mercado digital mundial.|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-orienta-zaitez-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f429/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f429/es_def/data/es_r01dtpd0015ff18c2a1a80ad2b0fcb1d1acbcd9cae|http://opendata.euskadi.eus/contenidos/fundacion/f429/r01Index/f429-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f429/opendata/f429.zip
ERROTA ARRATIAKO GARAPEN SOZIOEKONOMIKORAKO FUNDAZIOA|\"ERROTA ARRATIAKO GARAPEN SOZIOEKONOMIKORAKO FUNDAZIOA\"|F-425|"ERROTA ARRATIAKO GARAPEN SOZIOEKONOMIKORAKO FUNDAZIOA"|29/06/2017|48.0|Bizkaia|93.0|Areatza|48143.0|ASKATASUN KALEA, 10||-2.7681215|43.119617|Hauek dira fundazioak lortu nahi dituen interes orokorreko helburuak:a) Arratiako ingurune sozio-ekonomikoa dinamizatzea, pertsonenganako begirunea, ingurumenaren jasangarritasuna, berdintasun eta aniztasunaren, sustapena, epe luzeko ikuspegia, lankidetza, kultura eta hizkuntza funtsezko balore bezala hartuta.b) Eraldatze sozio-ekonomiko horren bitartez eskualdeko bizitzaren kalitatea hobetzea.|Cultura, juventud y deporte|http://opendata.euskadi.eus/catalogo/-/fundacion/errota-arratiako-garapen-sozioekonomikorako-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f425/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f425/es_def/data/es_r01dtpd15ef4fd8e0d738538d1ac1074d436c1fb41|http://opendata.euskadi.eus/contenidos/fundacion/f425/r01Index/f425-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f425/opendata/f425.zip
FUNDACION COLEGIO VIZCAYA FUNDAZIOA|FUNDACION COLEGIO VIZCAYA FUNDAZIOA|F-428|FUNDACION COLEGIO VIZCAYA FUNDAZIOA|24/04/2017|48.0|Bizkaia|44.0|Getxo|48991.0|AMEZTI, Nº 6-PLANTA 1ª, DEPARTAMENTO 2||0.0|0.0|LA PROMOCIÓN DE LA CALIDAD EN EL ÁMBITO DE LA EDUCACIÓN.EL DESARROLLO DE LA INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO DE LA ACTIVIDAD EDUCATIVA.LA PROMOCIÓN MEJORA Y DESARROLLO DE LOS SERVICIOS RELACIONADOS CON EL ÁMBITO EDUCATIVO.LA FORMACIÓN Y ASESORAMIENTO A LAS FAMILIAS PARA EL MEJOR DESARROLLO DE SUS HIJOS EN EL ÁMBITO EDUCATIVO.LA PROMOCIÓN DE LAS RELACIONES INTERCOOPERATIVAS.LA PROMOCIÓN LA REALIZACIÓN DE ACTIVIDADES DE CARACTER FORMATIVO, DE INDOLE SOCIAL, DEPORTIVA, CULTURAL Y DE VOLUNTARIADO Y COOPERACIÓN AL DESARROLLO EN EL AMBITO EDUCATIVO, ASÍ COMO OTRAS ACTIVIDADES QUE DETERMINE EL PATRONATO EN BENEFICIO DE LA EDUCACIÓN INTEGRAL PRINCIPALMENTE DE LA INFANCIA Y LA JUVENTUD|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-colegio-vizcaya-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f428/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f428/es_def/data/es_r01dtpd015ff18c58191d71a5b290982731ae6271f|http://opendata.euskadi.eus/contenidos/fundacion/f428/r01Index/f428-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f428/opendata/f428.zip
MUNDUBIRA 500:ELKANO FUNDAZIOA|MUNDUBIRA 500:ELKANO FUNDAZIOA|F-419|MUNDUBIRA 500:ELKANO FUNDAZIOA|12/04/2017|20.0|Gipuzkoa|39.0|Getaria|20808.0|ALDAMAR PARKERA 2 (TURISMO BULEGOA)||1.4E-45|1.4E-45|LA PROMOCIÓN DEL V. CENTENARIO DE LA PRIMERA VUELTA AL MUNDO REALIZADO, ENTRE OTROS, POR EL NAVEGANTE DE LA LOCALIDAD GIPUZKOANA DE GETARIA, JUAN SEBASTIÁN ELKANO, ASÍ COMO PONER EN VALOR LA IMPORTANCIA DEL MAR EN NUESTRO DESARROLLO SOCIAL Y ECONNÓMICO.|Cultura, juventud y deporte|http://opendata.euskadi.eus/catalogo/-/fundacion/mundubira-500-elkano-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f419/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f419/es_def/data/es_r01dtpd15c6c1c645e1a9afec7febfe3c9a1b4909a|http://opendata.euskadi.eus/contenidos/fundacion/f419/r01Index/f419-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f419/opendata/f419.zip
FUNDACIÓN BESAIDE|FUNDACIÓN BESAIDE|F-426|FUNDACIÓN BESAIDE|10/04/2017|48.0|Bizkaia|20.0|Bilbao|48011.0|CALLE EL CANO 7, PRINCIPAL DERECHA||-2.935428|43.26382|EL IMPULSO, DESARROLLO Y PROMOCIÓN DE ACTIVIDADES DE INTERÉS GENERAL, DE CARACTER EDUCATIVO, CIENTÍFICO, SANITARIO, CULTURAL, ARTÍSTICO, SOCIAL, DE COOPERACIÓN AL DESARROLLO Y DE FORMACIÓN HUMANA, PROFESIONAL Y ESPIRITUAL, REALIZADAS SIEMPRE TODAS ELLAS SIN ÁNIMO DE LUCRO, TANTO POR LA PROPIA FUNDACIÓN COMO POR OTRAS FUNDACIONES, ASOCIACIONES, U OTRAS ENTIDADES O PERSONAS PRIVADAS QUE NO PERSIGAN EL LUCRO DE SUS REALIZADORES|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-besaide/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f426/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f426/es_def/data/es_r01dtpd15ef4fd8dfe4d70fb00e668d6acb61954d3|http://opendata.euskadi.eus/contenidos/fundacion/f426/r01Index/f426-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f426/opendata/f426.zip
FUNDACIÓN DOBLE SONRISA|FUNDACIÓN DOBLE SONRISA|F-421|FUNDACIÓN DOBLE SONRISA|17/03/2017|1.0|Araba/Álava|59.0|Vitoria-Gasteiz|1192.0|ARKAUTE Nº 5||-2.6359131|42.85226|APOYAR Y FAVORECER LA MEJORA DE LA CALIDAD DE VIDA A TRAVÉS DE LA PREVENCIÓN, ATENCIÓN Y REHABILITACIÓN DE PACIENTES CON ENFERMEDADES CRÓNICAS AVANZADAS Y PERSONAS CON DEPENDENCIA.FOMENTAR ESTRATEGIAS DE CALIDAD EN LOS SERVICIOS SOCIOSANITARIOSPROTEGER A LA INFANCIA Y PRIMERA JUVENTUD, MEDIANTE LA DEFENSA DE SUS DERECHOS, NECESIDADES E INTERESES, CONTRIBUYENDO A LA MEJORA EDUCATIVA E INVOLUCRANDO A LA SOCIEDAD EN DICHO OBJETIVO.POTENCIAR LA HUMANIZACIÓN EN LOS HOSPITALES INFANTILESAQUELLAS OTRAS FINALIDADES SECUNDARIAS COMO LA ACTIVIDAD DE FOMENTO Y DIFUSIÓN DE ACTIVIDADES Y ACULESQUERA OTROS FINES QUE, NO OPONÍENDOSE A LAS DISPOSICIONES LEGASLES Y GUARDANDO RELACIÓN CON LAS FINALIDADES PRINCIPALES INDICADAS EN LAS LETRAS A), B), C) Y D) SE ACUERDEN POR EL PATRONATO|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-doble-sonrisa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f421/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f421/es_def/data/es_r01dtpd15d6873e82b2755014db35a6f27bd55a272|http://opendata.euskadi.eus/contenidos/fundacion/f421/r01Index/f421-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f421/opendata/f421.zip
FUNDACIÓN TECNOLÓGICA PARA LA PROMOCIÓN DE LA MOVILIDAD SOSTENIBLE|FUNDACIÓN TECNOLÓGICA PARA LA PROMOCIÓN DE LA MOVILIDAD SOSTENIBLE|F-420|FUNDACIÓN TECNOLÓGICA PARA LA PROMOCIÓN DE LA MOVILIDAD SOSTENIBLE|16/03/2017|48.0|Bizkaia|34.0|Ermua|48260.0|CALLE ZEHARKALEA,36-1º||1.4E-45|1.4E-45|PROMOVER, CONTRIBUIR Y DIFUNDIR EN LA SOCIEDAD UN AMBIENTE DE MOVILIDAD SOSTENIBLE, IMPULSANDO LA ELECTROMOVILIDAD Y MEDIDAS EFICIENTES TANTO ECONOMICA COM MEDIOAMBIENTALMENTE.|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-tecnologica-para-la-promocion-de-la-movilidad-sostenible/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f420/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f420/es_def/data/es_r01dtpd15cfc4e82f019c27497e098135373bc039e|http://opendata.euskadi.eus/contenidos/fundacion/f420/r01Index/f420-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f420/opendata/f420.zip
ARTEALE|ARTEALE|F-424|ARTEALE|13/03/2017|1.0|Araba/Álava|59.0|Vitoria-Gasteiz|1005.0|EDUARDO DATO,40, ESCALERA IZQU, 1º DCHA||-2.6726944|42.84205|PROMOVER Y FOMENTAR PROYECTOS Y ACTIVIDADES SOSTENIBLES EN EL ÁMBITO DE LA PREVENCIÓN Y RESSOLUCIÓN DE CONFLICTOS, A TRAVÉS DE LA PRÁCTICA COLABORATIVA/PROCESO COLABORATIVO Y CUALESQUIERA OTRAS VÍAS O MÉTODOS ALTERNATIVOS DE RESOLUCIÓN DE CONFLICTOS, QUE FACILITEN LA SOLUCIÓN CONVENCIONAL DE LAS CONTROVERSIAS, MEJORANDO LA COMUNICACIÓN Y COLABORACIÓN Y EVITANDO CUALQUIER TIPO DE DISCRIMINACIÓN, BAÁSNDOSE EN HERRAMIENTAS DE INNOVACIÓN Y PACIFICACIÓN SOCIAL.|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/arteale/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f424/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f424/es_def/data/es_r01dtpd15ef4fd96324d70fb001a23e883d2ff8daa|http://opendata.euskadi.eus/contenidos/fundacion/f424/r01Index/f424-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f424/opendata/f424.zip
FUNDACIÓN OSOTU LANBARI FUNDAZIOA|FUNDACIÓN OSOTU LANBARI FUNDAZIOA|F-427|FUNDACIÓN OSOTU LANBARI FUNDAZIOA|27/02/2017|48.0|Bizkaia|45.0|Güeñes|48840.0|BARRIO LANBARRI, Nº 10||1.4E-45|1.4E-45|1.-PROMOVER UNA EDUCACIÓN QUE ATIENDA AL DESARROLLO INTEGRAL DEL ALUMNADO, PRINCIPALMENTE DENTRO DE LOS ESTUDIOS REGLADOS.2.- LA GESTIÓN EN TODAS SUS DIMENSIONES DE UN CENTRO EDUCATIVO PRIVADO CONCERTADO DESDE 2º CICLO DE INFANTIL HASTA BACHILLERATO DE ACUERDO A LA FILOSOFIA DEL PROYECTO EDUCATIVO GLOBAL OSOTU EN EL QUE TODO EL ALUMN@ DISPONGA DE AMBIENTES DE APRENDIZAJE MULTIDIMENSIONAL ( COGNITIVA, FISICA, EMOCIONAL Y SOCIAL)3.- EL FOMENTO DE UNA NUEVA "CULTURA EDUCATIVA" BASADA EN LA CALIDAD, LA EXCELENCIA Y LA INNOVACIÓN Y QUE CENTRE SU ENFOQUE EN EL ANÁLISIS DEL ALUMNADO ( SUS DISTINTOS RITMOS, SUS DISTINTOS TIPOS DE APRENDIZAJES, LAS DISTINTAS FORTALEZAS QUE PRESENTAN,...) LAS EXIGENCIAS QUE ESTOS VAN A TENER QUE ALCANZAR EN SU VIDA ADULTA, ASÍ COMO EL ANÁLISIS DEL CONTEXTO EMOCIONAL, SOCIAL Y FÍSICO DONDE TODO ESTO HA DE TNER LUGAR.4.- POTENCIAR LA INCLUSIÓN EN EL CURRÍCULO DE LA INTELIGENCIA EMOCIONAL" DE FORMA TRANSVERSAL EN TODAS LAS MATERIAS Y A LO LARGO DE TODA LA EDUCACIÓN|0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-osotu-lanbari-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f427/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f427/es_def/data/es_r01dtpd15ff18c3c4469295877da89b4be4f3eb223|http://opendata.euskadi.eus/contenidos/fundacion/f427/r01Index/f427-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f427/opendata/f427.zip
FUNDACION DONOSTI CUP FUNDAZIOA|FUNDACION DONOSTI CUP FUNDAZIOA|F-423|FUNDACION DONOSTI CUP FUNDAZIOA|13/01/2017|20.0|Gipuzkoa|69.0|Donostia / San Sebastián|20011.0|AVENIDA DE MADRID N? 34 BAJO||-1.9771048|43.304775||0.0|http://opendata.euskadi.eus/catalogo/-/fundacion/fundacion-donosti-cup-fundazioa/|http://opendata.euskadi.eus/catalogo/contenidos/fundacion/f423/es_def/index.shtml|http://opendata.euskadi.eus/contenidos/fundacion/f423/es_def/data/es_r01dtpd15ef4fda61d738538d15f07bfd7c84b63bf|http://opendata.euskadi.eus/contenidos/fundacion/f423/r01Index/f423-idxContent.xml|http://opendata.euskadi.eus/contenidos/fundacion/f423/opendata/f423.zip
