nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
" Fundación Privada Signes "|Fundació|1807|2003/05/13|Avinguda Carrilet , 243|Hospitalet de Llobregat|08907|Barcelonès|Cultural|Artístiques ; Cultural
"Agora" Fundació pel Foment de la Comunicació i el Desenvolupament|Fundació|1433|2000/07/27|Avinguda Josep Tarradellas , 128, entl. 1a|Barcelona|08029|Barcelonès|Cultural|Cultural ; Promoció
"Comunitat i Valors", Fundació Privada de Serveis i Iniciatives Socials de les Comarques de Girona|Fundació|2473|2008/07/28|Via Laietana , 54, 1r|Barcelona|08003|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
"Fundació Privada Medinaro d'Arbúcies"|Fundació|1866|2003/10/01|Carrer Camprodon , 37|Arbúcies|17401|Selva|Assistencial|Alcohòlics ; Discapacitats ; Pobres i indigents ; Assistencial ; Immigració
"Fundació del Traginer"|Fundació|852|1994/12/22|Plaça Traginers , s/n|Igualada|08700|Anoia|Cultural|Preservació del patrimoni cultural ; Cultural
AB Fundació Privada Ángela Bagués|Fundació|2391|2007/12/19|Carrer Sant Pau , 8|Barcelona|08001|Barcelonès|Cultural|Cultural
AEC GRIS Fundació Privada|Fundació|2810|2014/02/26|Carrer de Vigo , 30, 1r 1a|Hospitalet de Llobregat|08901|Barcelonès|Assistencial|Assistencial
ATID, Fundació Privada|Fundació|1739|2002/12/17|Carrer Ríos Rosas , 47, bxs.|Barcelona|08006|Barcelonès|Cultural|Preservació del patrimoni cultural ; Religioses ; Cultural
Abat Oliba|Fundació|10|1983/07/05|Avinguda Pearson , 22|Barcelona|08034|Barcelonès|Cultural i Docent|Docent ; Altres activitats formatives ; Cultural
Acadèmia de Belles Arts de Sabadell, Fundació Privada|Fundació|1430|2000/07/17|Passeig Manresa , 20|Sabadell|08202|Vallès Occidental|Cultural|Cultural ; Promoció
